Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3508671.52,33699565.96,0,8300434.039999999
1000,5000,100,0021,GENERAL,31000000,2564590.69,24631998.97,0,6368001.030000001
1000,5000,100,0031,GENERAL,22000000,1802188.65,17309393.33,0,4690606.670000002
1000,5000,200,0011,GENERAL,13500000,1138736.66,10937168.42,0,2562831.58
1000,5000,200,0021,GENERAL,10000000,835397.98,8023706.18,0,1976293.8200000003
1000,5000,200,0031,GENERAL,7000000,567746.2,5453004.2,0,1546995.7999999998
1000,6100,100,9001,GENERAL,12000000,963546.41,9254527.13,0,2745472.869999999
1000,6100,200,9001,GENERAL,4000000,317937.87,3053682.35,0,946317.6499999999
1000,7300,100,9001,GENERAL,6500000,511377.11,4911598.78,0,1588401.2199999997
1000,7300,200,9001,GENERAL,2000000,155724.67,1495681.15,0,504318.8500000001
1000,5000,300,0011,GENERAL,4000000,298472.29,2866722.21,71429,1061848.79
1000,7300,300,9001,GENERAL,14000000,1078717.78,10360707.98,257143,3382149.0199999996
1000,5000,500,0011,GENERAL,3200000,243968.65,2343233.8,40000,816766.2000000002
1000,6200,500,0021,GENERAL,4000000,291983.76,2804402.16,0,1195597.8399999999
1000,5000,600,0011,GENERAL,7200000,321182.14,3084842.38,1657143,2458014.62
1000,6300,700,9001,GENERAL,5200000,392231.52,3767246.9,0,1432753.1
4100,7300,500,9001,GENERAL,6400000,508700.6,4885891.76,0,1514108.2400000002
1000,7300,400,9002,GENERAL,8500000,673200,6816150,0,1683850
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,3580000,580000,-360000
