Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3549470.02,37249035.98,0,4750964.020000003
1000,5000,100,0021,GENERAL,31000000,2594411.51,27226410.49,0,3773589.5100000016
1000,5000,100,0031,GENERAL,22000000,1823144.33,19132537.67,0,2867462.329999998
1000,5000,200,0011,GENERAL,13500000,1151977.79,12089146.21,0,1410853.789999999
1000,5000,200,0021,GENERAL,10000000,845111.91,8868818.09,0,1131181.9100000001
1000,5000,200,0031,GENERAL,7000000,574347.9,6027352.1,0,972647.9000000004
1000,6100,100,9001,GENERAL,12000000,974750.44,10229277.56,0,1770722.4399999995
1000,6100,200,9001,GENERAL,4000000,321634.82,3375317.18,0,624682.8199999998
1000,7300,100,9001,GENERAL,6500000,517323.36,5428922.14,0,1071077.8600000003
1000,7300,200,9001,GENERAL,2000000,157535.42,1653216.58,0,346783.4199999999
1000,5000,300,0011,GENERAL,4000000,301942.9,3168665.1,53571,777763.8999999999
1000,7300,300,9001,GENERAL,14000000,1091261.01,11451968.99,192857,2355174.01
1000,5000,500,0011,GENERAL,3200000,246805.5,2590039.3,30000,579960.7000000002
1000,6200,500,0021,GENERAL,4000000,295378.92,3099781.08,0,900218.9199999999
1000,5000,600,0011,GENERAL,7200000,324916.81,3409759.19,1242857,2547383.81
1000,6300,700,9001,GENERAL,5200000,396792.35,4164039.25,0,1035960.75
4100,7300,500,9001,GENERAL,6400000,514615.72,5400507.48,0,999492.5199999996
1000,7300,400,9002,GENERAL,8500000,799425,7615575,0,884425
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,3600000,390000,-190000
