Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3549470.02,40798506,0,1201494
1000,5000,100,0021,GENERAL,31000000,2594411.51,29820822,0,1179178
1000,5000,100,0031,GENERAL,22000000,1823144.33,20955682,0,1044318
1000,5000,200,0011,GENERAL,13500000,1151977.79,13241124,0,258876
1000,5000,200,0021,GENERAL,10000000,845111.91,9713930,0,286070
1000,5000,200,0031,GENERAL,7000000,574347.9,6601700,0,398300
1000,6100,100,9001,GENERAL,12000000,974750.44,11204028,0,795972
1000,6100,200,9001,GENERAL,4000000,321634.82,3696952,0,303048
1000,7300,100,9001,GENERAL,6500000,517323.36,5946245.5,0,553754.5
1000,7300,200,9001,GENERAL,2000000,157535.42,1810752,0,189248
1000,5000,300,0011,GENERAL,4000000,301942.9,3470608,35714,493678
1000,7300,300,9001,GENERAL,14000000,1091261.01,12543230,128571,1328199
1000,5000,500,0011,GENERAL,3200000,246805.5,2836844.8,20000,343155.2000000002
1000,6200,500,0021,GENERAL,4000000,295378.92,3395160,0,604840
1000,5000,600,0011,GENERAL,7200000,324916.81,3734676,828571,2636753
1000,6300,700,9001,GENERAL,5200000,396792.35,4560831.6,0,639168.4000000004
4100,7300,500,9001,GENERAL,6400000,514615.72,5915123.2,0,484876.7999999998
1000,7300,400,9002,GENERAL,8500000,799425,8415000,0,85000
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,3600000,200000,0
