Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3182283.47,5630193.83,0,36369806.17
1000,5000,100,0021,GENERAL,31000000,2326024.12,4115273.44,0,26884726.56
1000,5000,100,0031,GENERAL,22000000,1634543.2,2891884.12,0,19108115.88
1000,5000,200,0011,GENERAL,13500000,1032807.67,1827275.11,0,11672724.89
1000,5000,200,0021,GENERAL,10000000,757686.54,1340522.34,0,8659477.66
1000,5000,200,0031,GENERAL,7000000,514932.6,911034.6,0,6088965.4
1000,6100,100,9001,GENERAL,12000000,873914.18,1546155.86,0,10453844.14
1000,6100,200,9001,GENERAL,4000000,288362.26,510179.38,0,3489820.62
1000,7300,100,9001,GENERAL,6500000,463807.15,820581.88,0,5679418.12
1000,7300,200,9001,GENERAL,2000000,141238.66,249883.78,0,1750116.22
1000,5000,300,0011,GENERAL,4000000,270707.42,478943.9,214286,3306770.1
1000,7300,300,9001,GENERAL,14000000,978371.94,1730965.74,771429,11497605.26
1000,5000,500,0011,GENERAL,3200000,221273.89,391484.58,120000,2688515.42
1000,6200,500,0021,GENERAL,4000000,264822.48,468532.08,0,3531467.92
1000,5000,600,0011,GENERAL,7200000,291304.73,515385.29,4971429,1713185.71
1000,6300,700,9001,GENERAL,5200000,355744.86,629394.76,0,4570605.24
4100,7300,500,9001,GENERAL,6400000,461379.61,816287,0,5583713
1000,7300,400,9002,GENERAL,8500000,1136025,2103750,0,6396250
1000,7300,9700,9001,GENERAL,2000000,2000000,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,1900000,1900000,2100000,-200000
