Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3590268.53,9220462.36,0,32779537.64
1000,5000,100,0021,GENERAL,31000000,2624232.34,6739505.77,0,24260494.23
1000,5000,100,0031,GENERAL,22000000,1844100.02,4735984.13,0,17264015.87
1000,5000,200,0011,GENERAL,13500000,1165218.91,2992494.02,0,10507505.98
1000,5000,200,0021,GENERAL,10000000,854825.84,2195348.18,0,7804651.82
1000,5000,200,0031,GENERAL,7000000,580949.6,1491984.2,0,5508015.8
1000,6100,100,9001,GENERAL,12000000,985954.46,2532110.33,0,9467889.67
1000,6100,200,9001,GENERAL,4000000,325331.78,835511.15,0,3164488.85
1000,7300,100,9001,GENERAL,6500000,523269.6,1343851.48,0,5156148.52
1000,7300,200,9001,GENERAL,2000000,159346.18,409229.95,0,1590770.05
1000,5000,300,0011,GENERAL,4000000,305413.5,784357.41,196429,3019213.59
1000,7300,300,9001,GENERAL,14000000,1103804.24,2834769.98,707143,10458087.02
1000,5000,500,0011,GENERAL,3200000,249642.34,641126.92,110000,2448873.08
1000,6200,500,0021,GENERAL,4000000,298774.08,767306.16,0,3232693.84
1000,5000,600,0011,GENERAL,7200000,328651.49,844036.78,4557143,1798820.2199999997
1000,6300,700,9001,GENERAL,5200000,401353.18,1030747.94,0,4169252.06
4100,7300,500,9001,GENERAL,6400000,520530.84,1336817.84,0,5063182.16
1000,7300,400,9002,GENERAL,8500000,1009800,3113550,0,5386450
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,2110000,1910000,-220000
