Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3508671.52,12729133.87,0,29270866.130000003
1000,5000,100,0021,GENERAL,31000000,2564590.69,9304096.46,0,21695903.54
1000,5000,100,0031,GENERAL,22000000,1802188.65,6538172.78,0,15461827.219999999
1000,5000,200,0011,GENERAL,13500000,1138736.66,4131230.69,0,9368769.31
1000,5000,200,0021,GENERAL,10000000,835397.98,3030746.16,0,6969253.84
1000,5000,200,0031,GENERAL,7000000,567746.2,2059730.4,0,4940269.6
1000,6100,100,9001,GENERAL,12000000,963546.41,3495656.74,0,8504343.26
1000,6100,200,9001,GENERAL,4000000,317937.87,1153449.02,0,2846550.98
1000,7300,100,9001,GENERAL,6500000,511377.11,1855228.6,0,4644771.4
1000,7300,200,9001,GENERAL,2000000,155724.67,564954.62,0,1435045.38
1000,5000,300,0011,GENERAL,4000000,298472.29,1082829.7,178571,2738599.3
1000,7300,300,9001,GENERAL,14000000,1078717.78,3913487.76,642857,9443655.24
1000,5000,500,0011,GENERAL,3200000,243968.65,885095.58,100000,2214904.42
1000,6200,500,0021,GENERAL,4000000,291983.76,1059289.92,0,2940710.08
1000,5000,600,0011,GENERAL,7200000,321182.14,1165218.91,4142857,1891924.0899999999
1000,6300,700,9001,GENERAL,5200000,392231.52,1422979.46,0,3777020.54
4100,7300,500,9001,GENERAL,6400000,508700.6,1845518.44,0,4554481.5600000005
1000,7300,400,9002,GENERAL,8500000,799425,3912975,0,4587025
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,2320000,1720000,-240000
