Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3590268.53,19746476.9,0,22253523.1
1000,5000,100,0021,GENERAL,31000000,2624232.34,14433277.85,0,16566722.15
1000,5000,100,0031,GENERAL,22000000,1844100.02,10142550.09,0,11857449.91
1000,5000,200,0011,GENERAL,13500000,1165218.91,6408704.02,0,7091295.98
1000,5000,200,0021,GENERAL,10000000,854825.84,4701542.12,0,5298457.88
1000,5000,200,0031,GENERAL,7000000,580949.6,3195222.8,0,3804777.2
1000,6100,100,9001,GENERAL,12000000,985954.46,5422749.55,0,6577250.45
1000,6100,200,9001,GENERAL,4000000,325331.78,1789324.77,0,2210675.23
1000,7300,100,9001,GENERAL,6500000,523269.6,2877982.82,0,3622017.18
1000,7300,200,9001,GENERAL,2000000,159346.18,876403.97,0,1123596.03
1000,5000,300,0011,GENERAL,4000000,305413.5,1679774.27,142857,2177368.73
1000,7300,300,9001,GENERAL,14000000,1103804.24,6070923.32,514286,7414790.68
1000,5000,500,0011,GENERAL,3200000,249642.34,1373032.88,80000,1746967.12
1000,6200,500,0021,GENERAL,4000000,298774.08,1643257.44,0,2356742.56
1000,5000,600,0011,GENERAL,7200000,328651.49,1807583.18,3314286,2078130.8200000003
1000,6300,700,9001,GENERAL,5200000,401353.18,2207442.49,0,2992557.51
4100,7300,500,9001,GENERAL,6400000,520530.84,2862919.63,0,3537080.37
1000,7300,400,9002,GENERAL,8500000,378675,4796550,0,3703450
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,2740000,1340000,-280000
