Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3508671.52,23255148.42,0,18744851.58
1000,5000,100,0021,GENERAL,31000000,2564590.69,16997868.54,0,14002131.46
1000,5000,100,0031,GENERAL,22000000,1802188.65,11944738.74,0,10055261.26
1000,5000,200,0011,GENERAL,13500000,1138736.66,7547440.68,0,5952559.32
1000,5000,200,0021,GENERAL,10000000,835397.98,5536940.1,0,4463059.9
1000,5000,200,0031,GENERAL,7000000,567746.2,3762969,0,3237031
1000,6100,100,9001,GENERAL,12000000,963546.41,6386295.96,0,5613704.04
1000,6100,200,9001,GENERAL,4000000,317937.87,2107262.64,0,1892737.3599999999
1000,7300,100,9001,GENERAL,6500000,511377.11,3389359.93,0,3110640.07
1000,7300,200,9001,GENERAL,2000000,155724.67,1032128.64,0,967871.36
1000,5000,300,0011,GENERAL,4000000,298472.29,1978246.56,125000,1896753.44
1000,7300,300,9001,GENERAL,14000000,1078717.78,7149641.1,450000,6400358.9
1000,5000,500,0011,GENERAL,3200000,243968.65,1617001.54,70000,1512998.46
1000,6200,500,0021,GENERAL,4000000,291983.76,1935241.2,0,2064758.8
1000,5000,600,0011,GENERAL,7200000,321182.14,2128765.32,2900000,2171234.6799999997
1000,6300,700,9001,GENERAL,5200000,392231.52,2599674.01,0,2600325.99
4100,7300,500,9001,GENERAL,6400000,508700.6,3371620.22,0,3028379.78
1000,7300,400,9002,GENERAL,8500000,378675,5175225,0,3324775
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,2950000,1150000,-300000
