Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3427074.5,26682222.92,0,15317777.079999998
1000,5000,100,0021,GENERAL,31000000,2504949.05,19502817.59,0,11497182.41
1000,5000,100,0031,GENERAL,22000000,1760277.29,13705016.03,0,8294983.970000001
1000,5000,200,0011,GENERAL,13500000,1112254.42,8659695.1,0,4840304.9
1000,5000,200,0021,GENERAL,10000000,815970.12,6352910.22,0,3647089.7800000003
1000,5000,200,0031,GENERAL,7000000,554542.8,4317511.8,0,2682488.2
1000,6100,100,9001,GENERAL,12000000,941138.35,7327434.31,0,4672565.69
1000,6100,200,9001,GENERAL,4000000,310543.97,2417806.61,0,1582193.3900000001
1000,7300,100,9001,GENERAL,6500000,499484.62,3888844.56,0,2611155.44
1000,7300,200,9001,GENERAL,2000000,152103.17,1184231.81,0,815768.19
1000,5000,300,0011,GENERAL,4000000,291531.07,2269777.63,107143,1623079.37
1000,7300,300,9001,GENERAL,14000000,1053631.32,8203272.42,385714,5411013.58
1000,5000,500,0011,GENERAL,3200000,238294.96,1855296.5,60000,1284703.5
1000,6200,500,0021,GENERAL,4000000,285193.44,2220434.64,0,1779565.3599999999
1000,5000,600,0011,GENERAL,7200000,313712.78,2442478.1,2485714,2271807.9000000004
1000,6300,700,9001,GENERAL,5200000,383109.85,2982783.87,0,2217216.13
4100,7300,500,9001,GENERAL,6400000,496870.35,3868490.57,0,2531509.43
1000,7300,400,9002,GENERAL,8500000,420750,5595975,0,2904025
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,3160000,960000,-320000
