Fund Code,Function Code,Object Code,Cost Center,Project Code,Budget,Actual MTD,Actual YTD,Encumbrances,Available Budget
1000,5000,100,0011,GENERAL,42000000,3508671.52,30190894.44,0,11809105.559999999
1000,5000,100,0021,GENERAL,31000000,2564590.69,22067408.28,0,8932591.719999999
1000,5000,100,0031,GENERAL,22000000,1802188.65,15507204.68,0,6492795.32
1000,5000,200,0011,GENERAL,13500000,1138736.66,9798431.76,0,3701568.24
1000,5000,200,0021,GENERAL,10000000,835397.98,7188308.2,0,2811691.8
1000,5000,200,0031,GENERAL,7000000,567746.2,4885258,0,2114742
1000,6100,100,9001,GENERAL,12000000,963546.41,8290980.72,0,3709019.2800000003
1000,6100,200,9001,GENERAL,4000000,317937.87,2735744.48,0,1264255.52
1000,7300,100,9001,GENERAL,6500000,511377.11,4400221.67,0,2099778.33
1000,7300,200,9001,GENERAL,2000000,155724.67,1339956.48,0,660043.52
1000,5000,300,0011,GENERAL,4000000,298472.29,2568249.92,89286,1342464.08
1000,7300,300,9001,GENERAL,14000000,1078717.78,9281990.2,321429,4396580.800000001
1000,5000,500,0011,GENERAL,3200000,243968.65,2099265.15,50000,1050734.85
1000,6200,500,0021,GENERAL,4000000,291983.76,2512418.4,0,1487581.6
1000,5000,600,0011,GENERAL,7200000,321182.14,2763660.24,2071429,2364910.76
1000,6300,700,9001,GENERAL,5200000,392231.52,3375015.38,0,1824984.62
4100,7300,500,9001,GENERAL,6400000,508700.6,4377191.17,0,2022808.83
1000,7300,400,9002,GENERAL,8500000,546975,6142950,0,2357050
1000,7300,9700,9001,GENERAL,2000000,0,2000000,0,0
3200,7300,600,0021,ROOF-0021,3800000,210000,3370000,770000,-340000
